t_min,lon,lat
96.0,-59.0002699856592,-2.1414926457369168
96.0,-59.0,-2.1414926457369168
96.0,-58.99838008604481,-2.142032238700468
96.0,-59.0002699856592,-2.142032238700468
96.0,-58.997840114726415,-2.142032238700468
96.0,-59.002159885273585,-2.1423020351822437
96.0,-59.00107994263679,-2.1423020351822437
96.0,-58.99811010038561,-2.1425718316640197
96.0,-59.00188989961439,-2.1431114246275706
96.0,-58.998650071704006,-2.1431114246275706
96.0,-59.002159885273585,-2.144190610554673
96.0,-58.996220200771226,-2.1439208140728976
96.0,-58.995950215112025,-2.145
96.0,-58.99568022945283,-2.145809389445327
96.0,-58.99541024379363,-2.145809389445327
96.0,-58.99487027247523,-2.145809389445327
96.0,-58.99487027247523,-2.1455395929635515
96.0,-58.99514025813443,-2.1460791859271025
96.0,-58.99487027247523,-2.1460791859271025
96.0,-58.99541024379363,-2.1468885753724294
96.0,-59.001349928295994,-2.1474281683359804
96.0,-59.002159885273585,-2.1476979648177563
96.0,-59.00188989961439,-2.147967761299532
96.0,-59.00107994263679,-2.1476979648177563
96.0,-59.00107994263679,-2.1482375577813073
96.0,-58.99649018643042,-2.1482375577813073
96.0,-58.99541024379363,-2.1482375577813073
96.0,-59.0,-2.1485073542630833
96.0,-58.99568022945283,-2.1485073542630833
96.0,-58.99676017208962,-2.1490469472266343
96.0,-58.99649018643042,-2.1487771507448588
96.0,-58.99892005736321,-2.1487771507448588
96.0,-58.9991900430224,-2.1493167437084097
96.0,-58.998650071704006,-2.1490469472266343
96.0,-58.997840114726415,-2.1493167437084097
96.0,-58.99730014340802,-2.1487771507448588
96.0,-58.996220200771226,-2.1487771507448588
96.0,-58.995950215112025,-2.1487771507448588
96.0,-58.995950215112025,-2.1493167437084097
99.0,-58.9997300143408,-2.1412228492551413
99.0,-58.999460028681604,-2.1414926457369168
99.0,-59.0002699856592,-2.1417624422186927
99.0,-58.999460028681604,-2.1417624422186927
99.0,-58.99892005736321,-2.1417624422186927
99.0,-58.99838008604481,-2.1417624422186927
99.0,-58.99811010038561,-2.142032238700468
99.0,-58.99757012906721,-2.142032238700468
99.0,-58.99703015774882,-2.1423020351822437
99.0,-59.00188989961439,-2.1423020351822437
99.0,-59.00161991395519,-2.1425718316640197
99.0,-58.99811010038561,-2.1423020351822437
99.0,-58.997840114726415,-2.142841628145795
99.0,-59.00188989961439,-2.144190610554673
99.0,-58.995950215112025,-2.144190610554673
99.0,-59.00242987093279,-2.1455395929635515
99.0,-58.99460028681603,-2.1452697964817755
99.0,-58.99460028681603,-2.146348982408878
99.0,-58.99514025813443,-2.146618778890654
99.0,-58.99541024379363,-2.147158371854205
99.0,-59.001349928295994,-2.1476979648177563
99.0,-59.002159885273585,-2.1482375577813073
99.0,-58.996220200771226,-2.1482375577813073
99.0,-59.000539971318396,-2.1485073542630833
99.0,-58.99541024379363,-2.1485073542630833
99.0,-59.0,-2.1487771507448588
99.0,-58.998650071704006,-2.1487771507448588
99.0,-58.9997300143408,-2.1490469472266343
99.0,-58.999460028681604,-2.1493167437084097
99.0,-58.998650071704006,-2.1493167437084097
99.0,-58.996220200771226,-2.1493167437084097
99.0,-58.99757012906721,-2.1493167437084097
99.0,-58.997840114726415,-2.1495865401901857
102.0,-58.999460028681604,-2.140953052773366
102.0,-59.0,-2.1412228492551413
102.0,-58.9991900430224,-2.1414926457369168
102.0,-58.9991900430224,-2.1417624422186927
102.0,-58.998650071704006,-2.1417624422186927
102.0,-58.997840114726415,-2.1423020351822437
102.0,-59.00242987093279,-2.1423020351822437
102.0,-59.002159885273585,-2.1425718316640197
102.0,-59.0008099569776,-2.142032238700468
102.0,-58.99730014340802,-2.142032238700468
102.0,-59.00161991395519,-2.1423020351822437
102.0,-58.99676017208962,-2.1425718316640197
102.0,-58.99757012906721,-2.1431114246275706
102.0,-58.99703015774882,-2.1431114246275706
102.0,-58.99676017208962,-2.143381221109346
102.0,-58.99676017208962,-2.1452697964817755
102.0,-58.99568022945283,-2.1447302035182245
102.0,-58.99487027247523,-2.145
102.0,-58.99460028681603,-2.1455395929635515
102.0,-59.002159885273585,-2.1455395929635515
102.0,-58.99487027247523,-2.146348982408878
102.0,-59.00242987093279,-2.1474281683359804
102.0,-59.00269985659198,-2.1474281683359804
102.0,-58.99541024379363,-2.1476979648177563
102.0,-58.99541024379363,-2.147967761299532
102.0,-59.00242987093279,-2.147967761299532
102.0,-59.0008099569776,-2.1482375577813073
102.0,-58.9997300143408,-2.1485073542630833
102.0,-58.9997300143408,-2.1487771507448588
102.0,-58.995950215112025,-2.1490469472266343
102.0,-59.0,-2.1493167437084097
102.0,-58.99838008604481,-2.1493167437084097
102.0,-58.995950215112025,-2.1495865401901857
102.0,-58.99757012906721,-2.149856336671961
105.0,-58.9991900430224,-2.140953052773366
105.0,-58.999460028681604,-2.1412228492551413
105.0,-59.002159885273585,-2.142032238700468
105.0,-58.99676017208962,-2.1423020351822437
105.0,-58.99730014340802,-2.142841628145795
105.0,-59.00242987093279,-2.1425718316640197
105.0,-59.00242987093279,-2.1431114246275706
105.0,-58.99649018643042,-2.143381221109346
105.0,-58.99649018643042,-2.1439208140728976
105.0,-58.99568022945283,-2.1444604070364486
105.0,-58.996220200771226,-2.145
105.0,-58.99541024379363,-2.1444604070364486
105.0,-58.99541024379363,-2.145
105.0,-58.99568022945283,-2.1452697964817755
105.0,-58.99514025813443,-2.1452697964817755
105.0,-59.002159885273585,-2.145809389445327
105.0,-58.99514025813443,-2.147158371854205
105.0,-58.99514025813443,-2.1468885753724294
105.0,-59.00296984225118,-2.1476979648177563
105.0,-58.99514025813443,-2.1474281683359804
105.0,-59.00242987093279,-2.1482375577813073
105.0,-58.99568022945283,-2.1487771507448588
105.0,-58.99541024379363,-2.1487771507448588
105.0,-59.0002699856592,-2.1490469472266343
105.0,-58.9997300143408,-2.1493167437084097
105.0,-59.0,-2.1495865401901857
105.0,-58.999460028681604,-2.1495865401901857
105.0,-58.99811010038561,-2.1495865401901857
105.0,-58.99730014340802,-2.1493167437084097
105.0,-58.996220200771226,-2.1495865401901857
105.0,-58.99811010038561,-2.149856336671961
105.0,-58.99568022945283,-2.1495865401901857
105.0,-58.99568022945283,-2.149856336671961
105.0,-58.99730014340802,-2.1495865401901857
108.0,-58.999460028681604,-2.1406832562915903
108.0,-59.0002699856592,-2.140953052773366
108.0,-58.9997300143408,-2.140953052773366
108.0,-59.000539971318396,-2.1417624422186927
108.0,-58.998650071704006,-2.1414926457369168
108.0,-58.99838008604481,-2.1414926457369168
108.0,-59.00269985659198,-2.142032238700468
108.0,-58.99676017208962,-2.142841628145795
108.0,-59.00242987093279,-2.143381221109346
108.0,-58.99676017208962,-2.1431114246275706
108.0,-58.99649018643042,-2.1431114246275706
108.0,-58.99649018643042,-2.143651017591122
108.0,-58.99568022945283,-2.144190610554673
108.0,-58.996220200771226,-2.1452697964817755
108.0,-58.99568022945283,-2.145
108.0,-58.99541024379363,-2.1447302035182245
108.0,-58.99460028681603,-2.145
108.0,-59.00242987093279,-2.1452697964817755
108.0,-59.00242987093279,-2.145809389445327
108.0,-58.994330301156836,-2.146618778890654
108.0,-59.0002699856592,-2.1493167437084097
108.0,-58.9991900430224,-2.1495865401901857
108.0,-58.99892005736321,-2.1495865401901857
108.0,-58.99838008604481,-2.1495865401901857
108.0,-58.99757012906721,-2.1495865401901857
108.0,-58.99649018643042,-2.1493167437084097
108.0,-59.0002699856592,-2.1495865401901857
108.0,-58.9997300143408,-2.149856336671961
108.0,-58.99703015774882,-2.149856336671961
108.0,-58.995950215112025,-2.149856336671961
108.0,-58.99541024379363,-2.1493167437084097
108.0,-58.99541024379363,-2.1501261331537367
111.0,-58.9991900430224,-2.1406832562915903
111.0,-58.99892005736321,-2.140953052773366
111.0,-58.99892005736321,-2.1412228492551413
111.0,-59.000539971318396,-2.1414926457369168
111.0,-58.99811010038561,-2.1414926457369168
111.0,-58.99649018643042,-2.142841628145795
111.0,-58.996220200771226,-2.143651017591122
111.0,-58.995950215112025,-2.143651017591122
111.0,-59.002159885273585,-2.1444604070364486
111.0,-58.99514025813443,-2.1447302035182245
111.0,-58.99514025813443,-2.145
111.0,-58.995950215112025,-2.1452697964817755
111.0,-58.994330301156836,-2.1452697964817755
111.0,-58.99649018643042,-2.1452697964817755
111.0,-58.995950215112025,-2.1455395929635515
111.0,-58.99460028681603,-2.145809389445327
111.0,-58.99460028681603,-2.146618778890654
111.0,-58.99487027247523,-2.1468885753724294
111.0,-59.00269985659198,-2.147967761299532
111.0,-59.00161991395519,-2.147967761299532
111.0,-59.00161991395519,-2.1482375577813073
111.0,-58.99514025813443,-2.1482375577813073
111.0,-58.99514025813443,-2.147967761299532
111.0,-58.99514025813443,-2.1485073542630833
111.0,-58.999460028681604,-2.1487771507448588
111.0,-58.99541024379363,-2.1490469472266343
111.0,-59.000539971318396,-2.1493167437084097
111.0,-58.99730014340802,-2.1490469472266343
111.0,-58.99703015774882,-2.1495865401901857
111.0,-58.99568022945283,-2.1493167437084097
111.0,-58.99514025813443,-2.1495865401901857
111.0,-58.9991900430224,-2.149856336671961
111.0,-58.999460028681604,-2.149856336671961
111.0,-58.99892005736321,-2.149856336671961
111.0,-58.99838008604481,-2.149856336671961
111.0,-58.99730014340802,-2.149856336671961
111.0,-58.997840114726415,-2.1501261331537367
111.0,-58.99730014340802,-2.1501261331537367
111.0,-58.99676017208962,-2.1495865401901857
111.0,-58.99514025813443,-2.150395929635512
114.0,-58.99892005736321,-2.1404134598098143
114.0,-59.0,-2.1406832562915903
114.0,-58.9997300143408,-2.1406832562915903
114.0,-58.9991900430224,-2.1412228492551413
114.0,-58.998650071704006,-2.140953052773366
114.0,-58.99838008604481,-2.1412228492551413
114.0,-58.997840114726415,-2.1414926457369168
114.0,-59.00242987093279,-2.142032238700468
114.0,-59.00161991395519,-2.142032238700468
114.0,-58.996220200771226,-2.1431114246275706
114.0,-58.99730014340802,-2.143381221109346
114.0,-58.99703015774882,-2.143381221109346
114.0,-58.996220200771226,-2.142841628145795
114.0,-59.002159885273585,-2.143651017591122
114.0,-58.99568022945283,-2.1439208140728976
114.0,-58.99460028681603,-2.1447302035182245
114.0,-58.994330301156836,-2.145
114.0,-59.00269985659198,-2.1452697964817755
114.0,-58.99541024379363,-2.1452697964817755
114.0,-58.994060315497634,-2.146348982408878
114.0,-58.994060315497634,-2.146618778890654
114.0,-59.00269985659198,-2.1476979648177563
114.0,-58.99487027247523,-2.1476979648177563
114.0,-59.00269985659198,-2.1482375577813073
114.0,-59.00188989961439,-2.1482375577813073
114.0,-59.0008099569776,-2.1485073542630833
114.0,-58.99487027247523,-2.1482375577813073
114.0,-59.0,-2.1490469472266343
114.0,-58.99514025813443,-2.1490469472266343
114.0,-59.000539971318396,-2.1487771507448588
114.0,-58.99703015774882,-2.1490469472266343
114.0,-58.99514025813443,-2.1493167437084097
114.0,-59.000539971318396,-2.1490469472266343
114.0,-59.000539971318396,-2.1495865401901857
114.0,-58.99703015774882,-2.1493167437084097
114.0,-58.99541024379363,-2.1495865401901857
114.0,-59.0,-2.149856336671961
114.0,-58.998650071704006,-2.1495865401901857
114.0,-58.99676017208962,-2.1493167437084097
114.0,-58.99649018643042,-2.1495865401901857
114.0,-58.997840114726415,-2.149856336671961
114.0,-58.99568022945283,-2.1501261331537367
114.0,-58.99541024379363,-2.150395929635512
117.0,-58.998650071704006,-2.1404134598098143
117.0,-58.99892005736321,-2.1406832562915903
117.0,-59.0002699856592,-2.1406832562915903
117.0,-59.0,-2.1404134598098143
117.0,-58.999460028681604,-2.1404134598098143
117.0,-58.998650071704006,-2.1412228492551413
117.0,-58.99838008604481,-2.1406832562915903
117.0,-58.99838008604481,-2.140953052773366
117.0,-58.99811010038561,-2.140953052773366
117.0,-58.997840114726415,-2.1417624422186927
117.0,-58.99757012906721,-2.1412228492551413
117.0,-59.00269985659198,-2.1423020351822437
117.0,-59.00188989961439,-2.1417624422186927
117.0,-59.00242987093279,-2.142841628145795
117.0,-58.995950215112025,-2.1425718316640197
117.0,-58.995950215112025,-2.143381221109346
117.0,-59.00269985659198,-2.1431114246275706
117.0,-58.99730014340802,-2.1431114246275706
117.0,-58.99568022945283,-2.143651017591122
117.0,-58.99541024379363,-2.144190610554673
117.0,-58.99460028681603,-2.1444604070364486
117.0,-58.994060315497634,-2.1452697964817755
117.0,-59.00296984225118,-2.1452697964817755
117.0,-58.994060315497634,-2.1455395929635515
117.0,-58.99460028681603,-2.1460791859271025
117.0,-58.99379032983844,-2.1460791859271025
117.0,-58.99487027247523,-2.1474281683359804
117.0,-59.00296984225118,-2.1474281683359804
117.0,-58.99514025813443,-2.1476979648177563
117.0,-59.00296984225118,-2.147967761299532
117.0,-59.001349928295994,-2.1482375577813073
117.0,-59.002159885273585,-2.1485073542630833
117.0,-58.99460028681603,-2.1482375577813073
117.0,-58.99487027247523,-2.1485073542630833
117.0,-58.99487027247523,-2.1487771507448588
117.0,-59.0008099569776,-2.1490469472266343
117.0,-58.99487027247523,-2.1493167437084097
117.0,-59.0002699856592,-2.149856336671961
117.0,-58.99649018643042,-2.149856336671961
117.0,-58.99487027247523,-2.149856336671961
117.0,-58.998650071704006,-2.149856336671961
117.0,-58.99811010038561,-2.1501261331537367
117.0,-58.99541024379363,-2.149856336671961
117.0,-58.99703015774882,-2.150395929635512
120.0,-59.0,-2.140953052773366
120.0,-58.9997300143408,-2.1404134598098143
120.0,-58.997840114726415,-2.140953052773366
120.0,-58.997840114726415,-2.1412228492551413
120.0,-59.00188989961439,-2.142032238700468
120.0,-58.99811010038561,-2.1417624422186927
120.0,-59.00242987093279,-2.1417624422186927
120.0,-59.002159885273585,-2.1417624422186927
120.0,-59.00161991395519,-2.1417624422186927
120.0,-58.996220200771226,-2.1425718316640197
120.0,-58.995950215112025,-2.142841628145795
120.0,-58.996220200771226,-2.143381221109346
120.0,-58.99568022945283,-2.143381221109346
120.0,-58.99541024379363,-2.143651017591122
120.0,-58.99541024379363,-2.1439208140728976
120.0,-58.99514025813443,-2.1439208140728976
120.0,-58.99514025813443,-2.1444604070364486
120.0,-58.99487027247523,-2.1444604070364486
120.0,-58.994060315497634,-2.1447302035182245
120.0,-58.994060315497634,-2.145
120.0,-58.99379032983844,-2.1468885753724294
120.0,-58.99487027247523,-2.147158371854205
120.0,-58.99460028681603,-2.1474281683359804
120.0,-59.00269985659198,-2.1485073542630833
120.0,-58.994330301156836,-2.1482375577813073
120.0,-59.002159885273585,-2.1487771507448588
120.0,-59.00107994263679,-2.1487771507448588
120.0,-58.99487027247523,-2.1495865401901857
120.0,-58.9997300143408,-2.1495865401901857
120.0,-59.0,-2.1501261331537367
120.0,-58.99892005736321,-2.1501261331537367
120.0,-58.99757012906721,-2.1501261331537367
120.0,-58.99703015774882,-2.1501261331537367
120.0,-58.99757012906721,-2.150395929635512
120.0,-58.99514025813443,-2.149856336671961
120.0,-58.99676017208962,-2.150395929635512
123.0,-58.99838008604481,-2.140143663328039
123.0,-58.998650071704006,-2.1406832562915903
123.0,-59.000539971318396,-2.140953052773366
123.0,-58.99811010038561,-2.1412228492551413
123.0,-58.99757012906721,-2.1406832562915903
123.0,-58.99892005736321,-2.1414926457369168
123.0,-58.99730014340802,-2.1412228492551413
123.0,-58.99730014340802,-2.1414926457369168
123.0,-59.00242987093279,-2.1414926457369168
123.0,-59.00161991395519,-2.1414926457369168
123.0,-58.99757012906721,-2.1414926457369168
123.0,-58.996220200771226,-2.1423020351822437
123.0,-58.995950215112025,-2.1423020351822437
123.0,-58.99649018643042,-2.1425718316640197
123.0,-58.99568022945283,-2.1431114246275706
123.0,-58.99541024379363,-2.143381221109346
123.0,-58.995950215112025,-2.1439208140728976
123.0,-58.99514025813443,-2.144190610554673
123.0,-58.994330301156836,-2.1444604070364486
123.0,-59.00323982791038,-2.145
123.0,-59.00269985659198,-2.145
123.0,-59.00296984225118,-2.1455395929635515
123.0,-58.99379032983844,-2.1455395929635515
123.0,-58.994330301156836,-2.145809389445327
123.0,-58.994330301156836,-2.1460791859271025
123.0,-58.99379032983844,-2.145809389445327
123.0,-58.99352034417924,-2.1460791859271025
123.0,-58.99379032983844,-2.146348982408878
123.0,-58.99352034417924,-2.146348982408878
123.0,-58.994330301156836,-2.1468885753724294
123.0,-58.99379032983844,-2.146618778890654
123.0,-59.00296984225118,-2.147158371854205
123.0,-58.99487027247523,-2.147967761299532
123.0,-58.99460028681603,-2.147967761299532
123.0,-59.00188989961439,-2.1487771507448588
123.0,-58.99460028681603,-2.1487771507448588
123.0,-58.99487027247523,-2.1490469472266343
123.0,-58.99568022945283,-2.1490469472266343
123.0,-59.000539971318396,-2.149856336671961
123.0,-58.99838008604481,-2.1501261331537367
123.0,-58.99676017208962,-2.149856336671961
123.0,-58.99676017208962,-2.1501261331537367
123.0,-58.99514025813443,-2.1501261331537367
123.0,-58.998650071704006,-2.1501261331537367
123.0,-58.99703015774882,-2.150665726117288
126.0,-58.9997300143408,-2.140143663328039
126.0,-58.99838008604481,-2.1404134598098143
126.0,-59.000539971318396,-2.1404134598098143
126.0,-58.99757012906721,-2.1404134598098143
126.0,-58.99730014340802,-2.1404134598098143
126.0,-58.99730014340802,-2.1406832562915903
126.0,-58.99730014340802,-2.140953052773366
126.0,-58.99757012906721,-2.140953052773366
126.0,-59.002159885273585,-2.1412228492551413
126.0,-59.002159885273585,-2.1414926457369168
126.0,-58.99703015774882,-2.1417624422186927
126.0,-58.99568022945283,-2.1425718316640197
126.0,-59.00269985659198,-2.142841628145795
126.0,-58.99514025813443,-2.143381221109346
126.0,-58.99514025813443,-2.143651017591122
126.0,-58.99460028681603,-2.144190610554673
126.0,-58.99487027247523,-2.144190610554673
126.0,-59.00296984225118,-2.145
126.0,-59.00269985659198,-2.1447302035182245
126.0,-58.99487027247523,-2.1447302035182245
126.0,-59.00269985659198,-2.1455395929635515
126.0,-58.994330301156836,-2.1455395929635515
126.0,-58.994060315497634,-2.145809389445327
126.0,-58.99352034417924,-2.146618778890654
126.0,-58.994060315497634,-2.1468885753724294
126.0,-58.99460028681603,-2.1485073542630833
126.0,-58.994330301156836,-2.1485073542630833
126.0,-58.994060315497634,-2.1485073542630833
126.0,-59.00242987093279,-2.1485073542630833
126.0,-59.00242987093279,-2.1490469472266343
126.0,-59.0008099569776,-2.1487771507448588
126.0,-58.99514025813443,-2.1487771507448588
126.0,-59.0008099569776,-2.1493167437084097
126.0,-58.99460028681603,-2.1490469472266343
126.0,-59.0008099569776,-2.149856336671961
126.0,-58.996220200771226,-2.149856336671961
126.0,-58.99460028681603,-2.1493167437084097
126.0,-58.99487027247523,-2.1501261331537367
126.0,-58.99460028681603,-2.1501261331537367
126.0,-59.0,-2.150395929635512
126.0,-58.9997300143408,-2.150395929635512
126.0,-58.997840114726415,-2.150395929635512
126.0,-58.99649018643042,-2.150395929635512
126.0,-58.99649018643042,-2.1501261331537367
126.0,-58.99676017208962,-2.150665726117288
126.0,-58.99676017208962,-2.1509355225990636
129.0,-59.0002699856592,-2.140143663328039
129.0,-58.99703015774882,-2.1404134598098143
129.0,-58.99703015774882,-2.1406832562915903
129.0,-58.99811010038561,-2.1406832562915903
129.0,-59.000539971318396,-2.1412228492551413
129.0,-58.99703015774882,-2.140953052773366
129.0,-58.99703015774882,-2.1412228492551413
129.0,-59.00242987093279,-2.140953052773366
129.0,-59.002159885273585,-2.140953052773366
129.0,-59.00188989961439,-2.140953052773366
129.0,-58.99730014340802,-2.1417624422186927
129.0,-58.99676017208962,-2.1417624422186927
129.0,-58.99676017208962,-2.142032238700468
129.0,-59.00269985659198,-2.1417624422186927
129.0,-59.001349928295994,-2.1417624422186927
129.0,-58.99541024379363,-2.1423020351822437
129.0,-58.995950215112025,-2.1431114246275706
129.0,-58.99568022945283,-2.142841628145795
129.0,-59.00296984225118,-2.142841628145795
129.0,-58.99541024379363,-2.142841628145795
129.0,-58.99487027247523,-2.143651017591122
129.0,-58.99487027247523,-2.1439208140728976
129.0,-58.994330301156836,-2.144190610554673
129.0,-58.994330301156836,-2.1447302035182245
129.0,-58.994060315497634,-2.144190610554673
129.0,-59.00350981356958,-2.1452697964817755
129.0,-58.99379032983844,-2.1447302035182245
129.0,-58.99379032983844,-2.145
129.0,-59.00242987093279,-2.145
129.0,-58.99352034417924,-2.145809389445327
129.0,-58.99352034417924,-2.1468885753724294
129.0,-58.994060315497634,-2.147158371854205
129.0,-58.994330301156836,-2.147158371854205
129.0,-59.00296984225118,-2.1468885753724294
129.0,-59.00269985659198,-2.147158371854205
129.0,-59.00296984225118,-2.1482375577813073
129.0,-59.00242987093279,-2.1487771507448588
129.0,-58.994330301156836,-2.1487771507448588
129.0,-59.001349928295994,-2.1485073542630833
129.0,-59.001349928295994,-2.1487771507448588
129.0,-58.994330301156836,-2.1490469472266343
129.0,-58.994330301156836,-2.1495865401901857
129.0,-59.0,-2.150665726117288
129.0,-58.999460028681604,-2.150395929635512
129.0,-58.999460028681604,-2.150665726117288
129.0,-58.99730014340802,-2.150665726117288
132.0,-58.998650071704006,-2.140143663328039
132.0,-58.99811010038561,-2.140143663328039
132.0,-58.99811010038561,-2.1404134598098143
132.0,-58.99703015774882,-2.140143663328039
132.0,-58.99676017208962,-2.1404134598098143
132.0,-59.002159885273585,-2.1406832562915903
132.0,-59.00242987093279,-2.1406832562915903
132.0,-59.00188989961439,-2.1412228492551413
132.0,-58.99676017208962,-2.1412228492551413
132.0,-58.99703015774882,-2.1414926457369168
132.0,-59.001349928295994,-2.142032238700468
132.0,-58.99757012906721,-2.1417624422186927
132.0,-58.99649018643042,-2.142032238700468
132.0,-58.99649018643042,-2.1417624422186927
132.0,-59.00296984225118,-2.1425718316640197
132.0,-58.99541024379363,-2.1425718316640197
132.0,-59.00296984225118,-2.1431114246275706
132.0,-58.99487027247523,-2.1431114246275706
132.0,-58.99487027247523,-2.143381221109346
132.0,-58.994060315497634,-2.1444604070364486
132.0,-58.99352034417924,-2.1447302035182245
132.0,-58.99352034417924,-2.145
132.0,-59.00269985659198,-2.145809389445327
132.0,-58.994060315497634,-2.1460791859271025
132.0,-58.99352034417924,-2.147158371854205
132.0,-58.994330301156836,-2.1476979648177563
132.0,-58.994060315497634,-2.1487771507448588
132.0,-59.00161991395519,-2.1490469472266343
132.0,-59.00161991395519,-2.1485073542630833
132.0,-59.00107994263679,-2.1490469472266343
132.0,-58.996220200771226,-2.1501261331537367
132.0,-58.995950215112025,-2.1501261331537367
132.0,-58.9991900430224,-2.150395929635512
132.0,-58.99730014340802,-2.150395929635512
132.0,-58.994330301156836,-2.1501261331537367
132.0,-59.0002699856592,-2.1501261331537367
132.0,-59.0002699856592,-2.150395929635512
132.0,-59.0002699856592,-2.150665726117288
132.0,-58.9997300143408,-2.1501261331537367
132.0,-58.997840114726415,-2.150665726117288
132.0,-58.99757012906721,-2.150665726117288
132.0,-58.9997300143408,-2.150665726117288
135.0,-59.0,-2.1398738668462634
135.0,-59.0002699856592,-2.1404134598098143
135.0,-58.999460028681604,-2.140143663328039
135.0,-58.99838008604481,-2.1398738668462634
135.0,-59.0008099569776,-2.1406832562915903
